Diagnosis,Diagnosis_categories,Finished Admission Episodes,Emergency,Waiting list,Planned,Other,Mean_time_waited,Mean_length_of_stay,Young Children,Older Children and Adolescents,Young Adults,Middle-Aged Adults,Older Adults,Elderly 90+,Emergency Admission Ratio (%),Overcrowding_Status
Malignant neoplasm of rectosigmoid junction,Neoplasms,14138,1014,5831.0,7273.0,20.0,23.0,9.0,0,5.0,372.0,7193.0,7778,129,7.172160135804216,0
Malignant neoplasm of rectum,Neoplasms,51056,2380,23608.0,25020.0,48.0,26.0,9.0,0,1.0,1469.0,23551.0,28772,401,4.66154810404262,0
Malignant neoplasm of anus and anal canal,Neoplasms,5073,529,2073.0,2457.0,14.0,35.0,10.0,0,0.0,165.0,2451.0,2649,49,10.427754780208948,0
Malignant neoplasm of liver and intrahepatic bile ducts,Neoplasms,18207,3444,6759.0,7849.0,155.0,30.0,8.0,676,128.0,536.0,7137.0,15563,310,18.915801614763552,0
Malignant neoplasm of gallbladder,Neoplasms,2186,526,678.0,967.0,15.0,55.0,11.0,0,0.0,47.0,907.0,2073,69,24.06221408966148,0
Malignant neoplasm of other and unspecified parts of biliary tract,Neoplasms,4624,600,1534.0,2452.0,38.0,33.0,13.0,34,0.0,111.0,2016.0,3792,76,12.975778546712801,0
Malignant neoplasm of pancreas,Neoplasms,37996,5763,11926.0,20147.0,160.0,29.0,10.0,2,56.0,579.0,15103.0,30482,579,15.167386040635854,0
Malignant neoplasm of other and ill-defined digestive organs,Neoplasms,982,167,292.0,511.0,12.0,32.0,13.0,0,2.0,107.0,366.0,721,29,17.0061099796334,0
Malignant neoplasm of nasal cavity and middle ear,Neoplasms,899,67,526.0,306.0,0.0,34.0,5.0,2,0.0,153.0,393.0,387,11,7.452725250278086,0
Malignant neoplasm of accessory sinuses,Neoplasms,853,108,344.0,399.0,2.0,53.0,8.0,1,32.0,45.0,458.0,412,2,12.661195779601405,0
Malignant neoplasm of larynx,Neoplasms,4445,658,2636.0,1109.0,42.0,28.0,13.0,0,0.0,59.0,2180.0,2803,55,14.803149606299213,0
Malignant neoplasm of trachea,Neoplasms,90,15,55.0,16.0,4.0,13.0,6.0,0,0.0,9.0,37.0,61,0,16.666666666666664,0
Malignant neoplasm of bronchus and lung,Neoplasms,106130,12237,40069.0,53577.0,247.0,25.0,8.0,14,36.0,874.0,36155.0,86803,1196,11.530198812776783,0
Malignant neoplasm of thymus,Neoplasms,619,46,321.0,248.0,4.0,25.0,6.0,0,10.0,48.0,400.0,221,0,7.431340872374798,0
"Malignant neoplasm of heart, mediastinum and pleura",Neoplasms,822,122,248.0,443.0,9.0,29.0,7.0,103,106.0,171.0,267.0,328,5,14.841849148418493,0
Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,Neoplasms,17,5,4.0,8.0,0.0,7.0,7.0,10,0.0,0.0,3.0,10,0,29.411764705882355,0
Malignant neoplasm of bone and articular cartilage of limbs,Neoplasms,3717,290,1120.0,2279.0,28.0,19.0,5.0,106,1971.0,1324.0,223.0,162,3,7.80199085283831,0
Malignant neoplasm of bone and articular cartilage of other and unspecified sites,Neoplasms,3708,430,1278.0,1962.0,38.0,40.0,9.0,130,1098.0,1067.0,826.0,978,22,11.596548004314995,0
Malignant melanoma of skin,Neoplasms,30613,796,23473.0,6322.0,22.0,42.0,4.0,1,88.0,1892.0,10954.0,17632,785,2.6002025283376344,0
Other malignant neoplasms of skin,Neoplasms,145388,850,139966.0,4512.0,60.0,82.0,4.0,17,92.0,1926.0,25281.0,107463,11405,0.5846424739318238,0
Mesothelioma,Neoplasms,10085,1180,2838.0,6045.0,22.0,23.0,7.0,0,0.0,65.0,1111.0,10323,183,11.70054536440258,0
Kaposi sarcoma,Neoplasms,139,7,104.0,28.0,0.0,32.0,12.0,0,1.0,8.0,40.0,66,0,5.0359712230215825,0
Malignant neoplasm of peripheral nerves and autonomic nervous system,Neoplasms,395,37,155.0,199.0,4.0,42.0,8.0,68,80.0,131.0,117.0,26,2,9.367088607594937,0
Malignant neoplasm of retroperitoneum and peritoneum,Neoplasms,4774,419,1729.0,2612.0,14.0,48.0,9.0,184,170.0,142.0,1478.0,3174,33,8.776707163803938,0
Malignant neoplasm of other connective and soft tissue,Neoplasms,8523,704,3944.0,3780.0,95.0,27.0,6.0,591,1954.0,1359.0,2276.0,2857,127,8.260002346591575,0
Malignant neoplasm of breast,Neoplasms,261890,4135,98682.0,158996.0,77.0,35.0,3.0,0,25.0,21875.0,152986.0,88688,1093,1.578907174768032,0
Malignant neoplasm of vulva,Neoplasms,2801,226,1888.0,683.0,4.0,32.0,6.0,1,0.0,91.0,980.0,1797,118,8.068546947518742,0
Malignant neoplasm of vagina,Neoplasms,854,97,349.0,405.0,3.0,88.0,8.0,4,14.0,10.0,335.0,530,14,11.358313817330211,0
Malignant neoplasm of cervix uteri,Neoplasms,8477,733,3379.0,4353.0,12.0,40.0,5.0,0,19.0,1944.0,5184.0,1813,22,8.64692697888404,0
Malignant neoplasm of corpus uteri,Neoplasms,20759,1219,12051.0,7467.0,22.0,32.0,4.0,1,41.0,450.0,8103.0,13306,116,5.872151837757118,0
"Malignant neoplasm of uterus, part unspecified",Neoplasms,1455,194,546.0,708.0,7.0,29.0,7.0,15,0.0,57.0,750.0,828,17,13.333333333333334,0
Malignant neoplasm of ovary,Neoplasms,34934,2409,11846.0,20619.0,60.0,45.0,8.0,0,254.0,1267.0,15356.0,20439,226,6.8958607660159155,0
Malignant neoplasm of other and unspecified female genital organs,Neoplasms,6475,302,1902.0,4255.0,16.0,25.0,8.0,0,0.0,50.0,2682.0,4148,51,4.6640926640926645,0
Malignant neoplasm of placenta,Neoplasms,325,11,178.0,136.0,0.0,9.0,3.0,0,0.0,164.0,151.0,1,0,3.3846153846153846,0
Malignant neoplasm of penis,Neoplasms,1544,99,1111.0,330.0,4.0,34.0,4.0,0,0.0,63.0,547.0,886,35,6.411917098445596,0
Malignant neoplasm of prostate,Neoplasms,90606,4380,58252.0,27832.0,142.0,41.0,4.0,19,5.0,65.0,25401.0,68111,1070,4.834116945897623,0
Malignant neoplasm of testis,Neoplasms,5553,330,2452.0,2747.0,24.0,17.0,4.0,81,172.0,3183.0,1962.0,228,3,5.942733657482442,0
Malignant neoplasm of other and unspecified male genital organs,Neoplasms,153,7,115.0,31.0,0.0,34.0,3.0,0,18.0,8.0,34.0,101,1,4.57516339869281,0
"Malignant neoplasm of kidney, except renal pelvis",Neoplasms,29007,2212,12989.0,13728.0,78.0,49.0,5.0,1865,843.0,764.0,12090.0,16037,242,7.625745509704554,0
Malignant neoplasm of renal pelvis,Neoplasms,1918,87,904.0,927.0,0.0,56.0,5.0,4,0.0,12.0,406.0,1597,17,4.535974973931179,0
Malignant neoplasm of ureter,Neoplasms,2658,173,1333.0,1149.0,3.0,46.0,5.0,3,0.0,2.0,484.0,2310,61,6.508653122648608,0
Malignant neoplasm of bladder,Neoplasms,66254,3341,38348.0,24420.0,145.0,42.0,4.0,15,2.0,510.0,13331.0,53927,2157,5.042714402149304,0
Malignant neoplasm of other and unspecified urinary organs,Neoplasms,987,60,558.0,368.0,1.0,60.0,4.0,0,0.0,5.0,271.0,748,27,6.079027355623101,0
Malignant neoplasm of eye and adnexa,Neoplasms,3685,93,2269.0,1322.0,1.0,18.0,2.0,1560,248.0,98.0,932.0,946,21,2.5237449118046134,0
Malignant neoplasm of meninges,Neoplasms,158,57,61.0,37.0,3.0,62.0,11.0,2,41.0,17.0,74.0,88,6,36.075949367088604,0
Malignant neoplasm of brain,Neoplasms,16865,4382,4781.0,7476.0,226.0,32.0,9.0,2786,5347.0,2273.0,6065.0,5206,128,25.98280462496294,0
"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",Neoplasms,2138,168,513.0,1448.0,9.0,55.0,9.0,694,1230.0,138.0,117.0,92,0,7.857811038353601,0
Malignant neoplasm of thyroid gland,Neoplasms,8257,334,5379.0,2469.0,75.0,50.0,3.0,0,158.0,2315.0,3722.0,2352,35,4.045052682572363,0
Malignant neoplasm of adrenal gland,Neoplasms,3379,316,939.0,2106.0,18.0,40.0,7.0,1815,964.0,175.0,359.0,206,4,9.351879254217224,0
Malignant neoplasm of other endocrine glands and related structures,Neoplasms,767,89,231.0,439.0,8.0,48.0,9.0,18,524.0,100.0,136.0,93,5,11.603650586701434,0
Malignant neoplasm of other and ill-defined sites,Neoplasms,1251,209,478.0,556.0,8.0,40.0,10.0,260,138.0,68.0,339.0,634,38,16.706634692246205,0
Secondary and unspecified malignant neoplasm of lymph nodes,Neoplasms,24888,851,11204.0,12794.0,39.0,59.0,4.0,0,22.0,1026.0,10566.0,13774,125,3.4193185470909673,0
Secondary malignant neoplasm of respiratory and digestive organs,Neoplasms,86825,12501,28452.0,45681.0,191.0,41.0,7.0,101,289.0,2691.0,40413.0,56299,994,14.397926864382379,0
Secondary malignant neoplasm of other and unspecified sites,Neoplasms,63206,13491,17035.0,32344.0,336.0,97.0,9.0,110,757.0,2191.0,29555.0,43134,1049,21.34449261146094,0
Malignant neoplasm without specification of site,Neoplasms,7750,2880,1951.0,2878.0,41.0,26.0,11.0,22,34.0,308.0,3656.0,7746,468,37.16129032258065,0
Hodgkin lymphoma,Neoplasms,22526,791,7546.0,14140.0,49.0,29.0,8.0,94,3292.0,9349.0,6109.0,4262,41,3.5114978247358613,0
Follicular lymphoma,Neoplasms,20960,681,6627.0,13628.0,24.0,49.0,8.0,0,13.0,649.0,8996.0,11912,85,3.2490458015267176,0
Non-follicular lymphoma,Neoplasms,49448,3588,16819.0,28820.0,221.0,36.0,13.0,187,1157.0,2460.0,17756.0,32421,516,7.256107425982851,0
Mature T/NK-cell lymphomas,Neoplasms,4735,358,1492.0,2873.0,12.0,42.0,13.0,46,299.0,393.0,1929.0,2601,12,7.560718057022175,0
Other and unspecified types of non-Hodgkin lymphoma,Neoplasms,13242,1473,4483.0,7196.0,90.0,28.0,12.0,28,312.0,1383.0,4139.0,9363,260,11.123697326687813,0
Other specified types of T/NK-cell lymphoma,Neoplasms,1774,166,662.0,934.0,12.0,51.0,15.0,25,13.0,160.0,889.0,1016,3,9.357384441939121,0
Malignant immunoproliferative diseases,Neoplasms,7907,224,2435.0,5242.0,6.0,48.0,8.0,1,2.0,51.0,1835.0,6107,147,2.8329328443151636,0
Multiple myeloma and malignant plasma cell neoplasms,Neoplasms,165667,3766,47248.0,114370.0,283.0,73.0,12.0,1,4.0,840.0,53965.0,114792,1391,2.2732348627065138,0
Lymphoid leukaemia,Neoplasms,59108,3957,18304.0,36542.0,305.0,37.0,7.0,7982,16221.0,6051.0,10660.0,19563,444,6.694525275766394,0
Myeloid leukaemia,Neoplasms,72205,3935,23059.0,44982.0,229.0,49.0,17.0,575,1191.0,6083.0,19447.0,48486,652,5.449761096876948,0
Monocytic leukaemia,Neoplasms,7837,293,1823.0,5712.0,9.0,37.0,13.0,132,4.0,29.0,692.0,7087,179,3.7386755135893837,0
Other leukaemias of specified cell type,Neoplasms,1536,73,475.0,983.0,5.0,151.0,15.0,11,49.0,16.0,294.0,1203,48,4.752604166666666,0
Leukaemia of unspecified cell type,Neoplasms,769,167,269.0,328.0,5.0,10.0,8.0,63,151.0,158.0,128.0,336,18,21.716514954486346,0
"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue",Neoplasms,1108,88,275.0,743.0,2.0,45.0,8.0,412,353.0,108.0,242.0,75,3,7.9422382671480145,0
Malignant neoplasms of independent (primary) multiple sites,Neoplasms,31866,733,20201.0,10900.0,32.0,75.0,6.0,110,38.0,1028.0,10336.0,20181,1292,2.3002573275591542,0
"Carcinoma in situ of oral cavity, oesophagus and stomach",Neoplasms,586,21,512.0,52.0,1.0,39.0,4.0,1,0.0,8.0,225.0,388,9,3.583617747440273,0
Carcinoma in situ of other and unspecified digestive organs,Neoplasms,1353,23,1173.0,155.0,2.0,62.0,4.0,0,0.0,74.0,486.0,571,14,1.6999260901699924,0
Carcinoma in situ of middle ear and respiratory system,Neoplasms,570,7,531.0,31.0,1.0,35.0,3.0,0,0.0,10.0,179.0,405,4,1.2280701754385965,0
Melanoma in situ,Neoplasms,8285,32,8075.0,177.0,1.0,36.0,2.0,1,6.0,459.0,2518.0,5100,233,0.38624019312009655,0
Carcinoma in situ of skin,Neoplasms,8428,27,8257.0,142.0,2.0,44.0,2.0,2,6.0,78.0,1048.0,6290,907,0.3203607024205031,0
Carcinoma in situ of breast,Neoplasms,7816,28,7361.0,427.0,0.0,27.0,2.0,0,1.0,225.0,4989.0,2615,12,0.35823950870010235,0
Carcinoma in situ of cervix uteri,Neoplasms,3187,40,3028.0,116.0,3.0,51.0,2.0,0,0.0,1616.0,1332.0,113,1,1.2550988390335738,0
Carcinoma in situ of other and unspecified genital organs,Neoplasms,3036,24,2911.0,100.0,1.0,47.0,2.0,0,0.0,186.0,1398.0,1173,12,0.7905138339920948,0
Carcinoma in situ of other and unspecified sites,Neoplasms,2835,26,1729.0,1071.0,9.0,44.0,3.0,0,2.0,24.0,354.0,2431,58,0.9171075837742505,0
Benign neoplasm of mouth and pharynx,Neoplasms,2710,25,2650.0,34.0,1.0,68.0,2.0,16,149.0,606.0,1267.0,671,9,0.9225092250922509,0
Benign neoplasm of major salivary glands,Neoplasms,3134,43,2958.0,127.0,6.0,152.0,2.0,6,36.0,506.0,1578.0,1045,9,1.372048500319081,0
"Benign neoplasm of colon, rectum, anus and anal canal",Neoplasms,194756,354,162564.0,31816.0,22.0,45.0,4.0,3,147.0,5378.0,76555.0,110936,731,0.18176590194910552,0
Benign neoplasm of other and ill-defined parts of digestive system,Neoplasms,4926,157,3765.0,1001.0,3.0,55.0,7.0,1,16.0,444.0,1953.0,2874,38,3.1871701177425904,0
Benign neoplasm of middle ear and respiratory system,Neoplasms,2865,40,2625.0,198.0,2.0,86.0,2.0,34,224.0,571.0,1290.0,752,8,1.3961605584642234,0
Benign neoplasm of other and unspecified intrathoracic organs,Neoplasms,690,133,468.0,38.0,51.0,48.0,7.0,15,15.0,75.0,471.0,382,3,19.275362318840582,0
Benign neoplasm of bone and articular cartilage,Neoplasms,2636,85,2451.0,92.0,8.0,131.0,2.0,61,912.0,825.0,655.0,240,5,3.2245827010622152,0
Benign lipomatous neoplasm,Neoplasms,21194,439,20200.0,550.0,5.0,134.0,1.0,173,261.0,4008.0,12276.0,4723,31,2.0713409455506273,0
"Haemangioma and lymphangioma, any site",Neoplasms,7776,1074,5927.0,702.0,73.0,71.0,3.0,1763,646.0,1367.0,2475.0,1824,64,13.811728395061728,0
Benign neoplasm of mesothelial tissue,Neoplasms,47,4,31.0,12.0,0.0,56.0,3.0,0,0.0,1.0,11.0,41,2,8.51063829787234,0
Benign neoplasm of soft tissue of retroperitoneum and peritoneum,Neoplasms,49,7,38.0,4.0,0.0,90.0,4.0,0,0.0,14.0,23.0,14,0,14.285714285714285,0
Other benign neoplasms of connective and other soft tissue,Neoplasms,2353,43,2201.0,109.0,0.0,92.0,2.0,31,71.0,425.0,1105.0,737,24,1.827454313642159,0
Melanocytic naevi,Neoplasms,27775,258,26744.0,402.0,371.0,58.0,1.0,873,2076.0,10383.0,10016.0,4423,86,0.9288928892889289,0
Other benign neoplasms of skin,Neoplasms,12316,98,11968.0,250.0,0.0,88.0,2.0,550,1225.0,2176.0,4698.0,3544,141,0.7957128937966872,0
Benign neoplasm of breast,Neoplasms,8287,65,7720.0,502.0,0.0,64.0,1.0,0,354.0,3792.0,3301.0,825,6,0.7843610474236756,0
Leiomyoma of uterus,Neoplasms,26088,3567,21471.0,992.0,58.0,128.0,2.0,0,5.0,5002.0,20378.0,1145,6,13.672953081876724,0
Other benign neoplasms of uterus,Neoplasms,716,35,671.0,9.0,1.0,80.0,2.0,0,1.0,101.0,524.0,103,0,4.888268156424581,0
Benign neoplasm of ovary,Neoplasms,9003,1383,7424.0,176.0,20.0,118.0,2.0,4,220.0,3528.0,3912.0,1745,6,15.361546151282907,0
Benign neoplasm of other and unspecified female genital organs,Neoplasms,537,63,468.0,6.0,0.0,106.0,2.0,1,27.0,183.0,273.0,66,2,11.731843575418994,0
Benign neoplasm of male genital organs,Neoplasms,647,9,625.0,12.0,1.0,79.0,2.0,11,10.0,89.0,234.0,296,0,1.3910355486862442,0
Benign neoplasm of urinary organs,Neoplasms,1541,24,1402.0,114.0,1.0,45.0,2.0,0,1.0,66.0,496.0,1004,13,1.5574302401038287,0
Benign neoplasm of eye and adnexa,Neoplasms,618,11,581.0,25.0,1.0,96.0,1.0,66,87.0,150.0,193.0,121,6,1.779935275080906,0
Benign neoplasm of meninges,Neoplasms,4429,1629,2381.0,291.0,128.0,81.0,10.0,5,111.0,477.0,2808.0,2976,218,36.78031158275006,0
Benign neoplasm of brain and other parts of central nervous system,Neoplasms,2447,331,1051.0,1044.0,21.0,79.0,10.0,366,686.0,532.0,764.0,488,8,13.526767470371883,0
Benign neoplasm of thyroid gland,Neoplasms,1578,13,1545.0,19.0,1.0,83.0,1.0,2,19.0,418.0,823.0,342,2,0.8238276299112801,0
Benign neoplasm of other and unspecified endocrine glands,Neoplasms,9276,701,6694.0,1853.0,28.0,117.0,4.0,11,127.0,1421.0,4876.0,3721,27,7.557136696852091,0
Benign neoplasm of other and unspecified sites,Neoplasms,3229,107,2908.0,206.0,8.0,112.0,4.0,96,230.0,784.0,1430.0,755,19,3.3137194177764013,0
Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs,Neoplasms,9074,1054,7102.0,887.0,31.0,33.0,6.0,39,37.0,417.0,3559.0,6320,252,11.615605025347147,0
Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs,Neoplasms,1048,167,766.0,105.0,10.0,28.0,4.0,25,40.0,77.0,364.0,708,14,15.935114503816795,0
Neoplasm of uncertain or unknown behaviour of female genital organs,Neoplasms,1921,265,1243.0,409.0,4.0,45.0,3.0,17,48.0,893.0,761.0,299,12,13.7948984903696,0
Neoplasm of uncertain or unknown behaviour of male genital organs,Neoplasms,414,61,334.0,18.0,1.0,30.0,1.0,4,8.0,109.0,151.0,139,1,14.734299516908212,0
Neoplasm of uncertain or unknown behaviour of urinary organs,Neoplasms,4028,302,3404.0,313.0,9.0,47.0,3.0,26,30.0,102.0,921.0,3050,175,7.49751737835154,0
Neoplasm of uncertain or unknown behaviour of meninges,Neoplasms,152,58,81.0,5.0,8.0,71.0,9.0,0,4.0,23.0,91.0,80,0,38.15789473684211,0
Neoplasm of uncertain or unknown behaviour of brain and central nervous system,Neoplasms,2142,1309,472.0,317.0,44.0,47.0,8.0,226,349.0,424.0,1043.0,1383,92,61.111111111111114,0
Neoplasm of uncertain or unknown behaviour of endocrine glands,Neoplasms,1650,232,969.0,439.0,10.0,61.0,9.0,64,421.0,368.0,651.0,412,11,14.060606060606059,0
Polycythaemia vera,Neoplasms,11378,127,4306.0,6941.0,4.0,101.0,7.0,1,11.0,584.0,4968.0,5717,128,1.1161891369309194,0
Myelodysplastic syndromes,Neoplasms,55122,1788,17833.0,35421.0,80.0,78.0,7.0,10,100.0,492.0,5244.0,47653,2642,3.243713943615979,0
"Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue",Neoplasms,18369,792,6657.0,10899.0,21.0,93.0,9.0,79,126.0,755.0,4977.0,12675,365,4.311611954924057,0
Neoplasm of uncertain or unknown behaviour of other and unspecified sites,Neoplasms,5672,349,4537.0,760.0,26.0,64.0,4.0,225,402.0,1313.0,2189.0,1763,79,6.153032440056418,0
Iron deficiency anaemia,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,191927,43641,106466.0,41397.0,423.0,27.0,3.0,891,2170.0,24796.0,66862.0,107442,8619,22.738332803618043,0
Vitamin B12 deficiency anaemia,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,876,338,383.0,151.0,4.0,29.0,4.0,5,33.0,248.0,368.0,434,23,38.58447488584475,0
Folate deficiency anaemia,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3490,1323,893.0,1259.0,15.0,60.0,8.0,22,23.0,284.0,928.0,2939,580,37.90830945558739,0
Other nutritional anaemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,398,242,72.0,82.0,2.0,20.0,5.0,12,14.0,89.0,133.0,306,42,60.80402010050251,0
Anaemia due to enzyme disorders,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,440,75,204.0,160.0,1.0,22.0,3.0,96,108.0,80.0,139.0,27,0,17.045454545454543,0
Thalassaemia,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,15654,429,8302.0,6883.0,40.0,28.0,3.0,1197,4661.0,5880.0,3515.0,290,5,2.7405136067458797,0
Sickle-cell disorders,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,32097,13122,8873.0,9988.0,114.0,22.0,4.0,798,7773.0,18931.0,9050.0,573,0,40.88232545097672,0
Other hereditary haemolytic anaemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1608,443,598.0,550.0,17.0,118.0,3.0,322,344.0,342.0,355.0,402,22,27.549751243781095,0
Acquired haemolytic anaemia,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,6590,1163,2314.0,3074.0,39.0,55.0,7.0,316,428.0,845.0,1991.0,3711,315,17.64795144157815,0
Acquired pure red cell aplasia [erythroblastopenia],Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1010,38,289.0,682.0,1.0,70.0,9.0,3,24.0,117.0,438.0,491,1,3.762376237623762,0
Other aplastic anaemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,16851,3439,6277.0,7083.0,52.0,95.0,7.0,670,2760.0,2621.0,4983.0,8088,442,20.40828437481455,0
Acute posthaemorrhagic anaemia,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,235,200,18.0,14.0,3.0,7.0,4.0,1,9.0,59.0,81.0,168,32,85.1063829787234,1
Anaemia in chronic diseases classified elsewhere,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,14452,2410,7993.0,4019.0,30.0,41.0,3.0,54,178.0,784.0,3845.0,9861,934,16.675892610019375,0
Other anaemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,74653,20667,34977.0,18711.0,298.0,29.0,3.0,724,1264.0,6478.0,21702.0,49953,4332,27.684085033421297,0
Disseminated intravascular coagulation [defibrination syndrome],Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,51,40,5.0,6.0,0.0,2.0,16.0,7,2.0,7.0,29.0,63,4,78.43137254901961,0
Hereditary factor VIII deficiency,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,2293,306,549.0,1425.0,13.0,51.0,7.0,160,419.0,519.0,499.0,626,19,13.344962930658527,0
Hereditary factor IX deficiency,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,550,37,248.0,264.0,1.0,22.0,2.0,45,94.0,102.0,109.0,135,51,6.7272727272727275,0
Other coagulation defects,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,3448,481,1256.0,1694.0,17.0,32.0,5.0,217,492.0,881.0,984.0,1082,56,13.950116009280741,0
Purpura and other haemorrhagic conditions,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,25533,7988,7578.0,9876.0,91.0,60.0,3.0,1850,4044.0,3539.0,7111.0,10664,528,31.285003720675203,0
Agranulocytosis,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,7740,5174,1117.0,1343.0,106.0,26.0,4.0,1387,1756.0,1056.0,2362.0,2950,30,66.84754521963823,0
Functional disorders of polymorphonuclear neutrophils,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,208,24,36.0,144.0,4.0,20.0,14.0,37,55.0,96.0,22.0,4,1,11.538461538461538,0
